iter	Passed	Remaining
0	1	177
1	3	155
2	4	149
3	5	135
4	6	128
5	7	121
6	8	118
7	10	117
8	11	116
9	12	112
10	13	109
11	14	107
12	15	106
13	17	110
14	19	108
15	20	107
16	21	104
17	22	101
18	23	99
19	24	98
20	25	97
21	26	94
22	27	92
23	28	90
24	29	89
25	31	89
26	33	89
27	34	87
28	35	86
29	36	85
30	37	83
31	39	82
32	40	81
33	41	79
34	42	78
35	43	77
36	44	76
37	45	74
38	47	74
39	48	72
40	50	72
41	50	69
42	51	68
43	52	67
44	53	65
45	54	64
46	55	62
47	56	61
48	57	60
49	58	58
50	59	57
51	61	56
52	62	55
53	64	54
54	65	53
55	66	52
56	67	50
57	68	49
58	69	48
59	70	46
60	71	45
61	72	44
62	73	42
63	74	41
64	75	40
65	77	39
66	79	38
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	87	29
75	88	27
76	89	26
77	90	25
78	92	24
79	93	23
80	94	22
81	96	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	14
88	103	12
89	105	11
90	106	10
91	108	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	117	0
