iter	Passed	Remaining
0	155	155224
1	158	79263
2	161	53704
3	163	40714
4	165	32862
5	166	27607
6	168	23936
7	171	21309
8	174	19194
9	175	17367
10	176	15874
11	177	14633
12	178	13585
13	180	12679
14	180	11885
15	182	11210
16	183	10615
17	185	10135
18	188	9740
19	189	9293
20	190	8889
21	191	8530
22	192	8197
23	194	7890
24	195	7608
25	196	7348
26	197	7108
27	198	6895
28	201	6736
29	202	6556
30	203	6376
31	205	6215
32	206	6058
33	207	5903
34	208	5761
35	210	5627
36	211	5499
37	212	5377
38	214	5284
39	217	5217
40	218	5117
41	220	5019
42	221	4924
43	222	4837
44	223	4749
45	224	4666
46	226	4584
47	227	4516
48	231	4495
49	233	4432
50	234	4367
51	235	4295
52	236	4233
53	238	4172
54	239	4114
55	240	4057
56	242	4006
57	244	3965
58	246	3938
59	248	3889
60	249	3843
61	250	3796
62	252	3750
63	253	3705
64	254	3664
65	256	3623
66	257	3582
67	259	3552
68	261	3531
69	263	3498
70	264	3461
71	265	3426
72	267	3391
73	268	3355
74	269	3321
75	270	3289
76	271	3259
77	274	3244
78	276	3218
79	277	3191
80	278	3162
81	280	3136
82	280	3101
83	282	3077
84	283	3051
85	284	3026
86	285	3000
87	287	2981
88	290	2969
89	291	2952
90	293	2931
91	295	2912
92	296	2891
93	297	2870
94	299	2849
95	300	2828
96	301	2810
97	303	2798
98	306	2790
99	308	2776
100	309	2758
101	311	2744
102	313	2728
103	314	2709
104	315	2692
105	317	2676
106	319	2669
107	321	2655
108	322	2637
109	323	2619
110	324	2601
111	326	2584
112	327	2568
113	328	2552
114	329	2537
115	331	2525
116	332	2511
117	335	2509
118	337	2496
119	338	2483
120	340	2471
121	341	2457
122	342	2444
123	344	2431
124	345	2418
125	346	2406
126	348	2395
127	350	2389
128	352	2377
129	353	2364
130	354	2352
131	355	2339
132	357	2327
133	358	2315
134	359	2304
135	361	2293
136	362	2283
137	365	2280
138	366	2270
139	367	2260
140	369	2249
141	370	2237
142	371	2227
143	372	2215
144	374	2205
145	375	2195
146	376	2184
147	378	2178
148	380	2171
149	381	2163
150	383	2154
151	384	2145
152	387	2143
153	388	2135
154	390	2130
155	392	2125
156	395	2125
157	397	2118
158	399	2110
159	400	2102
160	401	2091
161	403	2084
162	404	2076
163	405	2069
164	408	2065
165	410	2064
166	412	2056
167	413	2049
168	415	2041
169	416	2034
170	417	2026
171	419	2018
172	420	2011
173	422	2004
174	424	2003
175	426	1997
176	428	1990
177	429	1981
178	430	1974
179	431	1966
180	432	1958
181	434	1951
182	435	1944
183	437	1938
184	439	1934
185	441	1932
186	443	1926
187	444	1921
188	446	1915
189	447	1909
190	449	1902
191	450	1895
192	452	1890
193	454	1888
194	456	1882
195	457	1876
196	458	1869
197	459	1863
198	461	1856
199	462	1848
200	463	1842
201	464	1835
202	466	1830
203	467	1824
204	469	1821
205	471	1818
206	472	1811
207	474	1805
208	475	1800
209	477	1795
210	478	1789
211	479	1783
212	481	1778
213	483	1776
214	485	1773
215	486	1767
216	488	1762
217	489	1756
218	491	1751
219	492	1746
220	493	1740
221	495	1734
222	497	1731
223	499	1730
224	500	1724
225	502	1720
226	503	1715
227	505	1711
228	506	1705
229	507	1699
230	508	1694
